OCC_ID,OCC_str,template
6_632_63230,Skilled agricultural and fishery workers_Forestry workers (except logging)_Forestry workers,Occupation: Skilled agricultural and fishery workers_Forestry workers (except logging)_Forestry workers
9_990_99200,Elementary occupations_Labourers not elsewhere classified_Factory labourers (unspecified),Occupation: Elementary occupations_Labourers not elsewhere classified_Factory labourers (unspecified)
7_775_77500,"Crafts and related trades workers_Dairy product processers_Butter, cheese and dairy product makers","Occupation: Crafts and related trades workers_Dairy product processers_Butter, cheese and dairy product makers"
7_942_94220,Crafts and related trades workers_Basketry weavers and brush makers_Basket makers,Occupation: Crafts and related trades workers_Basketry weavers and brush makers_Basket makers
8_989_98900,Plant and machine operators and assemblers_Transport equipment operators not elsewhere classified_Other transport equipment operators,Occupation: Plant and machine operators and assemblers_Transport equipment operators not elsewhere classified_Other transport equipment operators
7_921_92120,Crafts and related trades workers_Compositors and typesetters_Compositors,Occupation: Crafts and related trades workers_Compositors and typesetters_Compositors
5_452_45240,"Service workers and shop and market sales_Street vendors, canvassers and newsvendors_Newsvendors","Occupation: Service workers and shop and market sales_Street vendors, canvassers and newsvendors_Newsvendors"
8_984_98440,"Plant and machine operators and assemblers_Railway brakemen, signalmen and shunters_Railway switchmen and shunters","Occupation: Plant and machine operators and assemblers_Railway brakemen, signalmen and shunters_Railway switchmen and shunters"
4_339_33140,"Clerks_Bookkeepers, cashiers and related workers not elsewhere classified_Bank clerks","Occupation: Clerks_Bookkeepers, cashiers and related workers not elsewhere classified_Bank clerks"
3_35_3240,Technicians and associate professionals_Mechanical engineering technicians_Mechanical engineering technicians,Occupation: Technicians and associate professionals_Mechanical engineering technicians_Mechanical engineering technicians
1_299_23140,"Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, railways","Occupation: Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, railways"
9_974_97430,"Elementary occupations_Earthmoving and related machinery operators_Railway builders, workers and labourers","Occupation: Elementary occupations_Earthmoving and related machinery operators_Railway builders, workers and labourers"
4_399_39600,"Clerks_Clerks not elsewhere classified_Railroad, railway clerk","Occupation: Clerks_Clerks not elsewhere classified_Railroad, railway clerk"
7_771_77100,Crafts and related trades workers_Grain millers and related workers_Millers and related workers,Occupation: Crafts and related trades workers_Grain millers and related workers_Millers and related workers
8_983_98330,Plant and machine operators and assemblers_Railway engine drivers and firemen_Railway/railroad firemen and stokers,Occupation: Plant and machine operators and assemblers_Railway engine drivers and firemen_Railway/railroad firemen and stokers
4_360_36010,"Clerks_Transport conductors_Conductors, nfs","Occupation: Clerks_Transport conductors_Conductors, nfs"
4_370_37090,"Clerks_Mail distribution clerks_Post office, mail, and message workers nec","Occupation: Clerks_Mail distribution clerks_Post office, mail, and message workers nec"
7_871_87120,Crafts and related trades workers_Plumbers and pipe fitters_Plumbers,Occupation: Crafts and related trades workers_Plumbers and pipe fitters_Plumbers
3_39_3210,Technicians and associate professionals_Engineering technicians not elsewhere classified_Technicians,Occupation: Technicians and associate professionals_Engineering technicians not elsewhere classified_Technicians
7_855_85500,Crafts and related trades workers_Electrical wiremen_Electricians and  wiremen,Occupation: Crafts and related trades workers_Electrical wiremen_Electricians and  wiremen
7_951_95150,"Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Paviours","Occupation: Crafts and related trades workers_Bricklayers, stonemasons and tile setters_Paviours"
7_793_79390,Crafts and related trades workers_Milliners and hatmakers_Other hat makers,Occupation: Crafts and related trades workers_Milliners and hatmakers_Other hat makers
8_752_75200,"Plant and machine operators and assemblers_Spinners and winders_Spinners, doublers, twisters and winders","Occupation: Plant and machine operators and assemblers_Spinners and winders_Spinners, doublers, twisters and winders"
4_393_39340,Clerks_Correspondence and reporting clerks_Legal clerks,Occupation: Clerks_Correspondence and reporting clerks_Legal clerks
6_612_61290,Skilled agricultural and fishery workers_Specialised farmers_Other specialised farmers,Occupation: Skilled agricultural and fishery workers_Specialised farmers_Other specialised farmers
7_713_72000,"Crafts and related trades workers_Well drillers, borers and related workers_Metal workers, specialisation unknown","Occupation: Crafts and related trades workers_Well drillers, borers and related workers_Metal workers, specialisation unknown"
8_961_96100,Plant and machine operators and assemblers_Power generating machinery operators_Electricity generators,Occupation: Plant and machine operators and assemblers_Power generating machinery operators_Electricity generators
2_28_2800,Professionals_Industrial engineers_Industrial engineers,Occupation: Professionals_Industrial engineers_Industrial engineers
8_839_83540,"Plant and machine operators and assemblers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Cutlers and cutting instrument makers","Occupation: Plant and machine operators and assemblers_Blacksmiths, toolmakers and machinetool operators not elsewhere classified_Cutlers and cutting instrument makers"
8_795_79530,Plant and machine operators and assemblers_Sewers and embroiderers_Sewers and sewing machine operators,Occupation: Plant and machine operators and assemblers_Sewers and embroiderers_Sewers and sewing machine operators
8_812_81230,Plant and machine operators and assemblers_Woodworking machine operators_Wood turners and handle makers,Occupation: Plant and machine operators and assemblers_Woodworking machine operators_Wood turners and handle makers
7_819_81500,"Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Coopers, hoop makers and benders","Occupation: Crafts and related trades workers_Cabinetmakers and related woodworkers not elsewhere classified_Coopers, hoop makers and benders"
7_931_93120,"Crafts and related trades workers_Painters, construction_Painters, construction","Occupation: Crafts and related trades workers_Painters, construction_Painters, construction"
4_310_31090,"Clerks_Government executive officials_Government functionaries, nec","Occupation: Clerks_Government executive officials_Government functionaries, nec"
6_627_62710,Skilled agricultural and fishery workers_Nursery workers and gardeners_Gardeners nfs,Occupation: Skilled agricultural and fishery workers_Nursery workers and gardeners_Gardeners nfs
6_627_62711,Skilled agricultural and fishery workers_Nursery workers and gardeners_Gardener (domestic),Occupation: Skilled agricultural and fishery workers_Nursery workers and gardeners_Gardener (domestic)
7_773_77350,Crafts and related trades workers_Butchers and meat preparers_Sausage makers,Occupation: Crafts and related trades workers_Butchers and meat preparers_Sausage makers
2_141_14120,Professionals_Ministers of religion and related members of religious orders_Ministers of religion,Occupation: Professionals_Ministers of religion and related members of religious orders_Ministers of religion
8_985_98520,Plant and machine operators and assemblers_Motor vehicle drivers_Drivers (private),Occupation: Plant and machine operators and assemblers_Motor vehicle drivers_Drivers (private)
2_67_6400,Professionals_Pharmacists_Pharmacists,Occupation: Professionals_Pharmacists_Pharmacists
2_90_9000,Professionals_Economists_Economists,Occupation: Professionals_Economists_Economists
1_219_21230,"Legislators, senior officials and managers_Managers not elsewhere classified_Builders","Occupation: Legislators, senior officials and managers_Managers not elsewhere classified_Builders"
5_599_59940,Service workers and shop and market sales_Other service workers_Nursing aids and attendents,Occupation: Service workers and shop and market sales_Other service workers_Nursing aids and attendents
8_778_77870,"Plant and machine operators and assemblers_Brewers, wine and beverage makers_Makers of soft drinks","Occupation: Plant and machine operators and assemblers_Brewers, wine and beverage makers_Makers of soft drinks"
7_811_81120,Crafts and related trades workers_Cabinetmakers_Cabinet makers,Occupation: Crafts and related trades workers_Cabinetmakers_Cabinet makers
1_299_23170,"Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, construction, except railway construction","Occupation: Legislators, senior officials and managers_Administrative and managerial, n.e.c._Foremen and supervisors, construction, except railway construction"
3_76_7600,Technicians and associate professionals_Physiotherapists and occupational therapists_Healers and therapists nec,Occupation: Technicians and associate professionals_Physiotherapists and occupational therapists_Healers and therapists nec
2_71_7110,Professionals_Professional nurses_Trained nurses,Occupation: Professionals_Professional nurses_Trained nurses
2_191_19100,"Professionals_Librarians, archivists and curators_Librarians, archivists and curators","Occupation: Professionals_Librarians, archivists and curators_Librarians, archivists and curators"
6_629_62930,"Skilled agricultural and fishery workers_Agricultural and animal husbandry workers not elsewhere classified_Other plant workers e.g., gathers of herbs etc.","Occupation: Skilled agricultural and fishery workers_Agricultural and animal husbandry workers not elsewhere classified_Other plant workers e.g., gathers of herbs etc."
